A	B
0.0991	-167.64864
0.0992	-167.48573
0.0993	-167.32282
0.0994	-167.15993
0.0995	-166.99705
0.0996	-166.83419
0.0997	-166.67134
0.0998	-166.50851
0.0999	-166.3457
0.1	-166.18291
0.1001	-166.02015
0.1002	-165.85741
0.1003	-165.69469
0.1004	-165.532
0.1005	-165.36935
0.1006	-165.20672
0.1007	-165.04412
0.1008	-164.88156
0.1009	-164.71904
0.101	-164.55656
0.1011	-164.39411
0.1012	-164.23171
0.1013	-164.06936
0.1014	-163.90705
0.1015	-163.74479
0.1016	-163.58259
0.1017	-163.42043
0.1018	-163.25833
0.1019	-163.0963
0.102	-162.93432
0.1021	-162.7724
0.1022	-162.61055
0.1023	-162.44877
0.1024	-162.28706
0.1025	-162.12542
0.1026	-161.96385
0.1027	-161.80236
0.1028	-161.64096
0.1029	-161.47963
0.103	-161.31839
0.1031	-161.15724
0.1032	-160.99618
0.1033	-160.83521
0.1034	-160.67433
0.1035	-160.51356
0.1036	-160.35288
0.1037	-160.19231
0.1038	-160.03184
0.1039	-159.87148
0.104	-159.71123
0.1041	-159.5511
0.1042	-159.39108
0.1043	-159.23117
0.1044	-159.07139
0.1045	-158.91173
0.1046	-158.7522
0.1047	-158.59279
0.1048	-158.43352
0.1049	-158.27438
0.105	-158.11537
0.1051	-157.9565
0.1052	-157.79777
0.1053	-157.63919
0.1054	-157.48075
0.1055	-157.32245
0.1056	-157.1643
0.1057	-157.00631
0.1058	-156.84846
0.1059	-156.69078
0.106	-156.53325
0.1061	-156.37587
0.1062	-156.21866
0.1063	-156.06162
0.1064	-155.90474
0.1065	-155.74802
0.1066	-155.59147
0.1067	-155.4351
0.1068	-155.27889
0.1069	-155.12286
0.107	-154.967
0.1071	-154.81132
0.1072	-154.65581
0.1073	-154.50049
0.1074	-154.34535
0.1075	-154.19038
0.1076	-154.0356
0.1077	-153.881
0.1078	-153.72659
0.1079	-153.57236
0.108	-153.41832
0.1081	-153.26447
0.1082	-153.1108
0.1083	-152.95732
0.1084	-152.80403
0.1085	-152.65093
0.1086	-152.49802
0.1087	-152.3453
0.1088	-152.19277
0.1089	-152.04044
0.109	-151.88829
0.1091	-151.73633
0.1092	-151.58457
0.1093	-151.43299
0.1094	-151.28161
0.1095	-151.13041
0.1096	-150.97941
0.1097	-150.82859
0.1098	-150.67796
0.1099	-150.52753
0.11	-150.37727
0.1101	-150.22721
0.1102	-150.07733
0.1103	-149.92764
0.1104	-149.77813
0.1105	-149.62881
0.1106	-149.47966
0.1107	-149.3307
0.1108	-149.18192
0.1109	-149.03331
0.111	-148.88488
0.1111	-148.73663
0.1112	-148.58855
0.1113	-148.44064
0.1114	-148.2929
0.1115	-148.14533
0.1116	-147.99793
0.1117	-147.85069
0.1118	-147.70361
0.1119	-147.55669
0.112	-147.40993
0.1121	-147.26333
0.1122	-147.11688
0.1123	-146.97058
0.1124	-146.82443
0.1125	-146.67842
0.1126	-146.53256
0.1127	-146.38684
0.1128	-146.24126
0.1129	-146.09581
0.113	-145.95049
0.1131	-145.80531
0.1132	-145.66025
0.1133	-145.51531
0.1134	-145.3705
0.1135	-145.2258
0.1136	-145.08122
0.1137	-144.93674
0.1138	-144.79238
0.1139	-144.64812
0.114	-144.50396
0.1141	-144.3599
0.1142	-144.21593
0.1143	-144.07205
0.1144	-143.92826
0.1145	-143.78455
0.1146	-143.64092
0.1147	-143.49737
0.1148	-143.35389
0.1149	-143.21048
0.115	-143.06713
0.1151	-142.92385
0.1152	-142.78062
0.1153	-142.63744
0.1154	-142.49432
0.1155	-142.35124
0.1156	-142.2082
0.1157	-142.06519
0.1158	-141.92223
0.1159	-141.77929
0.116	-141.63637
0.1161	-141.49348
0.1162	-141.3506
0.1163	-141.20774
0.1164	-141.06489
0.1165	-140.92204
0.1166	-140.77919
0.1167	-140.63634
0.1168	-140.49348
0.1169	-140.3506
0.117	-140.20772
0.1171	-140.06481
0.1172	-139.92188
0.1173	-139.77892
0.1174	-139.63593
0.1175	-139.4929
0.1176	-139.34983
0.1177	-139.20672
0.1178	-139.06355
0.1179	-138.92034
0.118	-138.77706
0.1181	-138.63373
0.1182	-138.49033
0.1183	-138.34686
0.1184	-138.20332
0.1185	-138.0597
0.1186	-137.916
0.1187	-137.77222
0.1188	-137.62834
0.1189	-137.48438
0.119	-137.34031
0.1191	-137.19615
0.1192	-137.05188
0.1193	-136.90751
0.1194	-136.76302
0.1195	-136.61842
0.1196	-136.4737
0.1197	-136.32885
0.1198	-136.18388
0.1199	-136.03879
0.12	-135.89355
0.1201	-135.74819
0.1202	-135.60268
0.1203	-135.45703
0.1204	-135.31123
0.1205	-135.16529
0.1206	-135.01919
0.1207	-134.87294
0.1208	-134.72653
0.1209	-134.57996
0.121	-134.43322
0.1211	-134.28632
0.1212	-134.13924
0.1213	-133.992
0.1214	-133.84458
0.1215	-133.69698
0.1216	-133.5492
0.1217	-133.40124
0.1218	-133.2531
0.1219	-133.10477
0.122	-132.95625
0.1221	-132.80754
0.1222	-132.65863
0.1223	-132.50953
0.1224	-132.36024
0.1225	-132.21074
0.1226	-132.06105
0.1227	-131.91115
0.1228	-131.76105
0.1229	-131.61074
0.123	-131.46023
0.1231	-131.30951
0.1232	-131.15858
0.1233	-131.00744
0.1234	-130.85609
0.1235	-130.70453
0.1236	-130.55276
0.1237	-130.40077
0.1238	-130.24857
0.1239	-130.09615
